ID|NAME|NAME_EN|STAR|CLASS|Gender|ILLUST|CV|Origin|Region|Camp|T_NAME|T_PROP|T_TYPE
161|土方岁三|Toshizou Hijikata|5|Berserker|男性|余湖裕輝|星野贵纪|史实|日本|人|不灭之诚|Buster|对人宝具
162|茶茶|Chacha|4|Berserker|女性|pako|阿澄佳奈|史实|日本|人|绚烂魔界日轮城|Buster|城塞宝具
163|梅尔特莉莉丝（溶解莉莉丝）|Meltlilith|5|Alterego|女性|ワダアルコ|早见沙织|『Fate/EXTRA CCC』|SE.RA.PH|地|辩才天五弦琵琶（Sarasvati Melt out）|Quick|对人宝具
164|帕森莉普（热情迷唇）|Passionlip|4|Alterego|女性|ワダアルコ|小仓唯|『Fate/EXTRA CCC』|SE.RA.PH|地|即便死亡将二人分离（Brynhild Romantia）|Buster|对人宝具
165|铃鹿御前|Gozen Suzuka|4|Saber|女性|たけのこ星人 |东山奈央|鈴鹿の草子、田村三代記、等|日本|天|天鬼雨|Buster|对军宝具
166|ＢＢ|ＢＢ|4|MoonCancer|女性|ワダアルコ|下屋则子|『Fate/EXTRA CCC』|SE.RA.PH|人|C.C.C.（Cursed Cupid Cleanser）|Arts|对人宝具
167|杀生院祈荒|Kiara Sesshouin|5|Alterego|女性|ワダアルコ|田中理惠|『Fate/EXTRA CCC』|SE.RA.PH|兽|快乐天・胎藏曼荼罗|Arts|对人宝具
168|BeastⅢ／R|BeastⅢ／R|5|BeastⅢ／R|女性|ワダアルコ|田中理惠|||兽|||
169|山鲁佐德|Scheherazade|5|Caster|女性|なまにくATK(ニトロプラス)|井上喜久子|《一千零一夜》（Arabian Nights）|波斯|人|一千零一夜（Alf Layla wa Layla）|Arts|对王宝具
170|武则天|Wu Zetian|4|Assassin|女性|原田たけひと|井泽诗织|史实|中国|人|告密罗织经|Quick|对人宝具
171|彭忒西勒亚|Penthesilea|4|Berserker|女性|真じろう|嶋村侑|希腊神话、特洛伊战争|希腊|地|英雄，在我的愤恨中终结吧（Outrage Amazon）|Buster|对人宝具
172|克里斯托弗·哥伦布|Cristoforo Colombo|3|Rider|男性|元村人|大塚芳忠|史实|西班牙|人|新天地探索航（Santa Maria·Drop Anchor）|Buster|对军宝具
173|夏洛克·福尔摩斯|Sherlock Holmes|5|Ruler|男性|山中虎鉄|水岛大宙|夏洛克·福尔摩斯系列|英国、全世界|星|这是基本的推测，我的朋友（Elementary My Dear）|Arts|对人宝具/对界宝具
174|保罗·班扬|Paul Bunyan|1|Berserker|女性|リヨ|小见川千明|传说|美国、加拿大|地|惊人的伟业（Marvelous Exploits）|Buster|对军宝具
175|尼禄·克劳狄乌斯|Nero Claudius|5|Caster|女性|ワダアルコ|丹下樱|史实|罗马|人|歌颂的黄金剧场（Laudarentum Domus Illusterias）|Buster|对军宝具
176|弗兰肯斯坦|Frankenstein|4|Saber|女性|岡崎武士|野中蓝|创作|欧洲全境|地|串刺的雷刃（Skewered plasma blade）|Quick|对人宝具
177|尼托克丽丝|Nitocris|4|Assassin|女性|縞うどん|田中美海|史实|埃及|天|荡涤污秽、美丽的蓝色尼罗河（Sneferu·Iteru·Nile）|Arts|对军宝具
178|织田信长|Nobunaga Oda|4|Berserker|女性|pako|钉宫理惠|史实|日本|人|第六天魔王波旬~夏盛~（Nobunaga·THE·RockRoll）|Buster|对神宝具
179|阿尔托莉雅·潘德拉贡〔Alter〕|Altria Pendragon|5|Rider|女性|武内崇|川澄绫子|亚瑟王传说|英国|人|不屈燃烧胜利之剑（Sequence Morgan）|Quick|对军宝具
180|海伦娜·布拉瓦茨基|Helena Blavatsky|4|Archer|女性|松竜|金元寿子|史实|欧洲|人|金星神・白银圆环（Sanat Kumāra wheel）|Arts|对军宝具
181|源赖光|Raikou Minamotono|4|Lancer|女性|本庄雷太|户松遥|史实、『御伽草子』『丑御前的真身』等等|日本|天|释提桓因·金刚杵|Buster|对人宝具
182|伊修塔尔|Ishtar|4|Rider|女性|森井しづき|植田佳奈|古代美索不达米亚神话|美索不达米亚|天|神峰天回明星之虹（Angalta seven colours）|Quick|对人宝具
183|帕尔瓦蒂|Parvati|4|Lancer|女性|蒼月タカオ|下屋则子|印度神话|印度|天|见恋不为，无爱也（trishūla Shakti）|Quick|对军宝具
184|巴御前|Gozen Tomoe|4|Archer|女性|しらび|金元寿子|史实|日本|地|真言·圣观世音菩萨（Mantra of Āryāvalokiteśvara）|Buster|对人宝具
185|望月千代女|Chiyome Mochizuki|4|Assassin|女性|ひろやまひろし|佐仓绫音|史实|日本|地|通灵·伊吹大明神缘起|Arts|对人宝具
186|宝藏院胤舜|Insyun Houzouin|3|Lancer|男性|松竜|浪川大辅|史实|日本|人|胧里月十一式|Arts|对人宝具
187|柳生但马守宗矩|Dajimanokamimunenori Yagyuu|4|Saber|男性|古海鐘一|山路和弘|史实|日本|人|剑术无双·剑禅如一|Arts|对人奥义
188|加藤段藏|Danzou Katou|4|Assassin|女性|曽我誠|明坂聪美|史实、『甲阳军鉴末书结要本』『北越军谈』『伽婢子』『绘本甲越军记』等|日本|地|络缲幻法·吞牛|Buster|对兽宝具
189|刑部姬|Osakabehime|5|Assassin|女性|森山大輔|福圆美里|传说|日本（姬路城）|地|白鹭城的百鬼八天堂大人|Quick|对城宝具（自身）
190|机械伊丽酱|mekaerichan|4|Alterego|女性型|ワダアルコ|大久保瑠美|Halloween･Strike！|监狱城恰赫季斯|人|钢铁天空魔娘（BrestoZero Elizabeth）|Buster|对军个人宝具
191|机械伊丽酱Ⅱ号机|mekaerichan Ⅱ|4|Alterego|女性型|ワダアルコ|大久保瑠美|Halloween･Strike！|监狱城恰赫季斯|人|钢铁天空魔娘（BrestoZero Elizabeth）|Buster|对军个人宝具
192|喀耳刻|Circe|4|Caster|女性|左|茜屋日海夏|希腊神话|欧洲|天|禁断之狂宴（Plump Piglets）|Buster|对人宝具
193|哪吒|Nezha|4|Lancer|女性|蒼月タカオ|小仓唯|『封神演义』『西游记』等|中国|天|地飞爽灵 火尖枪|Buster|对军宝具
194|示巴女王|Queen of Sheba|4|Caster|女性|加藤いつわ|佐藤聪美|旧约圣经、新约圣经等|东非、阿拉伯半岛南西部|人|三个谜题（Three Enigmas）|Arts|对人宝具
195|阿比盖尔·威廉姆斯|Abigail Williams|5|Foreigner|女性|黒星紅白|大和田仁美|史实|北美·马萨诸塞州|地|光壳溢目的虚树（Qliphoth Rhizome）|Buster|对人宝具
196|艾蕾什基伽尔|Ereshkigal|5|Lancer|女性|森井しづき|植田佳奈|古代美索不达米亚神话|美索不达米亚|地|碾拥灵峰冥府之鞴（Kur Kigal Irkalla）|Buster|对山宝具
197|阿提拉·the·圣〔诞〕|Artila|4|Archer|女性|huke|能登麻美子|冥界的Merry Christmas|芬兰（自称）|星|圣夜之虹、军神之剑（Candy Star Photon Ray）|Quick|对界宝具
198|葛饰北斋|Hokusai Katsushika|5|Foreigner|女性|黒星紅白|ゆかな|史实|日本|人|富岳三十六景|Arts|对军宝具
199|赛米拉米斯|Semiramis|5|Assassin|女性|近衛乙嗣|真堂圭|传说|中东|地|虚荣的空中庭院（Hanging Gardens of Babylon）|Buster|对界宝具
200|浅上藤乃|Fujino Asagami|4|Archer|女性|武内崇|能登麻美子|空之境界|日本|人|唯识・歪曲之魔眼|Buster|对界宝具
201|阿纳斯塔西娅|Анастасия|5|Caster|女性|sime|原由实|史实|俄罗斯|人|疾走・精灵眼球（Вий・Вий・Вий）|Arts|精灵宝具
202|阿塔兰忒〔Alter〕|Atalanta|4|Berserker|女性|近衛乙嗣|早见沙织|希腊神话|希腊|地|暗天蚀射（Tauropolos Skia Thermoplasia）|Quick|对人宝具
203|阿维斯布隆|Avicebron|3|Caster|男性|近衛乙嗣|宫本充|传说|欧洲|人|王冠：睿智之光（Golem Kether Malchut）|Buster|对军宝具
204|安东尼奥·萨列里|Antonio Salieri|3|Avenger|男性|PFALZ|关俊彦|『灰色之男』、莫扎特暗杀传说等|欧洲|地|至高的神啊，请赐予我怜悯（Dio・Santissimo・Misericordia・De・Mi）|Arts|对军宝具
205|伊凡雷帝|Иван Грозный|5|Rider|男性|danciao|黑田崇矢|史实及异闻带|俄罗斯|人|征服吾等旅路之兽（звери・Крестный ход）|Buster|对人宝具
206|阿喀琉斯|Achilles|5|Rider|男性|近衛乙嗣|古川慎|希腊神话|希腊|地|疾风怒涛的不死战车（Troias Tragoidia）|Quick|对军宝具
207|喀戎|Chiron|4|Archer|男性|近衛乙嗣|武内骏辅|希腊神话|希腊|天|天蝎一射（Antares Snipe）|Arts|对人宝具
208|齐格|Sieg|4|Caster|男性|近衛乙嗣|花江夏树|Fate/Apocrypha|罗马尼亚|人|灼热龙息・万地融解（Akafiloga Argries）|Arts|对人宝具
209|冲田总司〔Alter〕|Souji Okita|5|Alterego|女性|武内崇|悠木碧|史实|日本|人|绝剑・无穹三段|Buster|对界宝具
210|冈田以藏|Izou Okada|3|Assassin|男性|lack|吉野裕行|史实|日本|人|始末剑|Arts|对人魔剑
211|坂本龙马|Ryouma Sakamoto|4|Rider|男性&女性|pako|加瀬康之 & 堀江由衣|史实&帝都圣杯奇谭|日本|人|翱翔天际宛如龙|Arts|对军宝具
212|拿破仑|Napoleon|5|Archer|男性|Ryota-H|日野聡|史实、拿破仑传说|欧洲|星|高诏凯旋之虹弓（Arc de Triomphe de lEtoile）|Buster|对军宝具
213|齐格鲁德|Sigurd|5|Saber|男性|三輪士郎|津田健次郎|北欧神话|欧洲|地|坏劫之天轮（Bövercr Gram）|Buster|对城宝具
214|瓦尔基里|Valkyrie|4|Lancer|女性|武内崇|田中美海＆小松未可子＆雨宫天|北欧神话|欧洲|天|终末幻想・少女降临（Ragnarøk Lífþrasir）|Quick|对军宝具
215|斯卡哈=丝卡蒂|Scathach=Skadi|5|Caster|女性|こやまひろかず|能登麻美子|北欧神话、凯尔特神话|欧洲|天|通往死亡流溢的魔境之门（Gate Of Sky）|Arts|对军宝具、开战宝具
216|贞德〔Archer〕|Jeanne d'Arc|5|Archer|女性|武内崇|坂本真绫|史实|法国|人|丰饶的大海啊，与欢乐一起（Des Océans d'Allégresse）|Arts|对军宝具
217|茨木童子〔Lancer〕|Ibaraki Douji|4|Lancer|女性|左|东山奈央|御伽草子等|日本|地|愚神礼赞・一条戻桥|Buster|对结界宝具／对军宝具
218|牛若丸〔Assassin〕|Ushiwakamaru|4|Assassin|女性|坂本みねぢ|早见沙织|『义经记』『平家物语』|日本|人|天狗的羽毛扇・暴风|Quick|对军宝具
219|贞德〔Alter〕（Berserker）|Jeanne d'Arc|4|Berserker|女性|武内崇|坂本真绫|史实|法国|人|烧却天理・鏖杀龙|Buster|对军宝具
220|ＢＢ|ＢＢ|5|MoonCancer|女性|ワダアルコ|下屋则子|『Fate/EXTRA CCC』|SE.RA.PH|地|Ｃ.Ｃ.Ｃ.（Cursed Cutting Crater）|Buster|对界宝具
221|女王梅芙〔Saber〕|Medb|4|Saber|女性|高山箕犀|佐仓绫音|凯尔特神话|爱尔兰|地|我所心爱的夏季爱之约会（OneShot My Love）|Arts|对人宝具
222|谜之女主角XX|Mysterious Heroine XX|4|Foreigner|女性|BUNBUN|川澄绫子|Cosmo Guardian三部作|从者界|星|苍辉银河即宇宙（而苍穹宇宙为秩序）|Arts|对人宝具
